Posture,BirdID,Bird,Block,SongID,Song,Aviary,SongSet,Duration,Latency,AvgPotency,B1Potency,AvgRank,B1Rank,BlockResponseRate,LowResponse,WrongResponseRate,Prefix,MaxVelocity,PeakHeight,BVPotency
1.0000,Y1,1,3,BDY,0,0,0,5.0000,0.5850,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0028383427343980916,0.32512366167569107,0.8625
1.0000,Y1,1,3,BOD,1,0,0,6.0000,0.2980,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,3,LB,3,0,0,5.0000,0.5030,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004039199514568631,0.3284896293260444,0.5866666666666667
1.0000,Y1,1,3,DMG,9,0,0,5.0000,0.3740,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003632230456454555,0.3175831361631234,0.6103896103896104
1.0000,Y1,1,3,BDY-,10,0,0,7.0000,0.1290,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004481055531825984,0.34237094100300175,0.9230769230769231
1.0000,Y1,1,3,LB-,12,0,0,5.0000,0.4350,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0033601924859886223,0.3318730989721505,0.8888888888888888
1.0000,Y1,1,4,BDY,0,0,0,5.0000,0.1060,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,Y1,1,4,BOD,1,0,0,,,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,4,LB,3,0,0,2.0000,0.6540,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.5866666666666667
1.0000,Y1,1,4,DMG,9,0,0,4.0000,0.3530,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.005236471171382151,0.3342450433985941,0.6103896103896104
1.0000,Y1,1,4,BDY-,10,0,0,6.0000,0.3720,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.9230769230769231
1.0000,Y1,1,4,LB-,12,0,0,4.0000,0.2290,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003460722538148664,0.3384042646709001,0.8888888888888888
1.0000,Y1,1,5,BDY,0,0,0,5.0000,0.1880,0.9286,1.0000,1.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.020565365030916508,0.32802316216521343,0.8625
1.0000,Y1,1,5,BOD,1,0,0,4.0000,0.2530,0.7692,1.0000,2.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.025917035624069593,0.3239702018138686,0.6973684210526315
1.0000,Y1,1,5,LB,3,0,0,3.0000,0.2670,0.6667,1.0000,3.5000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.004272330001766966,0.3245882190142234,0.5866666666666667
2.0000,Y1,1,5,DMG,9,0,0,1.0000,,0.6250,0.0000,5.0000,10.0000,1.0000,False,0.8333,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,5,BDY-,10,0,0,3.0000,0.4320,0.6667,0.5000,3.5000,4.5000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.0038977600756656128,0.3344180850592529,0.9230769230769231
1.0000,Y1,1,5,LB-,12,0,0,2.0000,0.4980,0.2000,0.5000,6.0000,4.5000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.004283816083493208,0.32684969203585107,0.8888888888888888
1.0000,Y1,1,6,BDY,0,0,0,4.0000,0.2880,0.9286,1.0000,1.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.004161262895216289,0.31102423459150075,0.8625
1.0000,Y1,1,6,BOD,1,0,0,4.0000,0.4450,0.7692,1.0000,2.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,6,LB,3,0,0,3.0000,0.2830,0.6667,1.0000,3.5000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.0035682091018265916,0.32616274170042814,0.5866666666666667
1.0000,Y1,1,6,DMG,9,0,0,4.0000,0.7130,0.6250,0.0000,5.0000,10.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,6,BDY-,10,0,0,4.0000,0.7410,0.6667,0.5000,3.5000,4.5000,0.8000,False,0.8333,BV.2019.06.05-13.16,,,0.9230769230769231
0.0000,Y1,1,6,LB-,12,0,0,,,0.2000,0.5000,6.0000,4.5000,1.0000,False,0.8333,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,Y1,1,7,BDY,0,0,0,4.0000,0.4630,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,Y1,1,7,BOD,1,0,0,5.0000,0.4900,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,7,LB,3,0,0,2.0000,0.7250,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.5866666666666667
1.0000,Y1,1,7,DMG,9,0,0,6.0000,0.3750,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,7,BDY-,10,0,0,6.0000,0.4380,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00646266587003258,0.32636450425433494,0.9230769230769231
1.0000,Y1,1,7,LB-,12,0,0,3.0000,0.6290,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,Y1,1,8,BDY,0,0,0,7.0000,0.1540,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00437790510091679,0.333708482076997,0.8625
1.0000,Y1,1,8,BOD,1,0,0,5.0000,0.2280,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004318203806382981,0.34565167384016443,0.6973684210526315
1.0000,Y1,1,8,LB,3,0,0,5.0000,0.4500,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.005982916891206391,0.32805469774478,0.5866666666666667
1.0000,Y1,1,8,DMG,9,0,0,4.0000,0.4940,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,8,BDY-,10,0,0,5.0000,0.1750,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.9230769230769231
1.0000,Y1,1,8,LB-,12,0,0,3.0000,0.5120,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00894210429036324,0.37562285170121484,0.8888888888888888
1.0000,Y1,1,9,BDY,0,0,0,4.0000,0.5860,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,Y1,1,9,BOD,1,0,0,5.0000,0.9040,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,9,LB,3,0,0,3.0000,0.5190,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004092587106936718,0.34247240685676583,0.5866666666666667
1.0000,Y1,1,9,DMG,9,0,0,3.0000,0.1870,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,5.420495427788108e-06,0.24881887102133612,0.6103896103896104
1.0000,Y1,1,9,BDY-,10,0,0,5.0000,0.3070,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0013875432267484444,0.33697101830011217,0.9230769230769231
1.0000,Y1,1,9,LB-,12,0,0,2.0000,0.4780,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00405077119790459,0.31160798288155617,0.8888888888888888
1.0000,Y1,1,10,BDY,0,0,0,5.0000,0.3420,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.012892344846408332,0.24956928646798843,0.8625
1.0000,Y1,1,10,BOD,1,0,0,5.0000,0.3550,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.013364043065227788,0.24215947725211628,0.6973684210526315
1.0000,Y1,1,10,LB,3,0,0,2.0000,0.4620,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.01204812154739629,0.21596349718399416,0.5866666666666667
1.0000,Y1,1,10,DMG,9,0,0,2.0000,0.6380,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,10,LB-,12,0,0,2.0000,0.5220,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.011834491371603806,0.22486061126998214,0.8888888888888888
1.0000,Y1,1,11,BDY,0,0,0,6.0000,0.3950,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,Y1,1,11,BOD,1,0,0,4.0000,0.4870,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,11,LB,3,0,0,3.0000,0.4080,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.009894703525505005,0.25798179849813674,0.5866666666666667
1.0000,Y1,1,11,BDY-,10,0,0,6.0000,0.4070,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.01049204183463065,0.24205017597817835,0.9230769230769231
1.0000,Y1,1,11,LB-,12,0,0,4.0000,0.6460,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8888888888888888
0.0000,Y1,1,12,DMG,9,0,0,,,0.6250,0.0000,5.0000,10.0000,,False,0.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,13,BDY,0,0,0,7.0000,0.4480,0.9286,1.0000,1.0000,2.0000,0.7500,False,0.8000,BV.2019.06.05-13.16,0.004576998584217951,0.33203240838483034,0.8625
1.0000,Y1,1,13,BOD,1,0,0,4.0000,0.3600,0.7692,1.0000,2.0000,2.0000,0.7500,False,0.8000,BV.2019.06.05-13.16,0.004101374974662481,0.3096033841167514,0.6973684210526315
1.0000,Y1,1,13,LB,3,0,0,3.0000,0.4240,0.6667,1.0000,3.5000,2.0000,0.7500,False,0.8000,BV.2019.06.05-13.16,0.00405402587214998,0.3136433652610585,0.5866666666666667
1.0000,Y1,1,13,DMG,9,0,0,4.0000,0.4510,0.6250,0.0000,5.0000,10.0000,0.7500,False,0.8000,BV.2019.06.05-13.16,0.0006851027418638966,0.33552976140027224,0.6103896103896104
0.0000,Y1,1,13,BDY-,10,0,0,,,0.6667,0.5000,3.5000,4.5000,1.0000,False,0.8000,BV.2019.06.05-13.16,,,0.9230769230769231
1.0000,Y1,1,14,BDY,0,0,0,6.0000,0.2710,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.005095996022013882,0.32550908233183135,0.8625
1.0000,Y1,1,14,BOD,1,0,0,5.0000,0.3560,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004519422467156475,0.31567830204955816,0.6973684210526315
1.0000,Y1,1,14,LB,3,0,0,3.0000,0.5430,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004447391026054043,0.3185487271991532,0.5866666666666667
1.0000,Y1,1,14,DMG,9,0,0,3.0000,0.5870,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,14,BDY-,10,0,0,4.0000,0.7780,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.9230769230769231
1.0000,Y1,1,14,LB-,12,0,0,4.0000,0.4190,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.005005699265899527,0.3152242691392927,0.8888888888888888
1.0000,Y1,1,15,BDY,0,0,0,5.0000,0.1840,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003322334218041012,0.31122178767584135,0.8625
1.0000,Y1,1,15,BOD,1,0,0,5.0000,0.2160,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003475667500034474,0.31700426329890125,0.6973684210526315
1.0000,Y1,1,15,LB,3,0,0,2.0000,0.5140,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00196088062278843,0.2847705083833732,0.5866666666666667
1.0000,Y1,1,15,DMG,9,0,0,,,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,15,BDY-,10,0,0,2.0000,0.3270,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003434956674902012,0.30769218181018737,0.9230769230769231
1.0000,Y1,1,15,LB-,12,0,0,3.0000,0.3480,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0027531569521909716,0.31302956817849537,0.8888888888888888
1.0000,Y1,1,16,BDY,0,0,0,3.0000,0.3160,0.9286,1.0000,1.0000,2.0000,0.6000,False,0.6667,BV.2019.06.05-13.16,0.0017008245169324587,0.2989835546005601,0.8625
1.0000,Y1,1,16,BOD,1,0,0,2.0000,0.4140,0.7692,1.0000,2.0000,2.0000,0.6000,False,0.6667,BV.2019.06.05-13.16,0.0023792393930409106,0.2965944919981516,0.6973684210526315
1.0000,Y1,1,16,LB,3,0,0,,,0.6667,1.0000,3.5000,2.0000,0.6000,False,0.6667,BV.2019.06.05-13.16,,,0.5866666666666667
2.0000,Y1,1,16,DMG,9,0,0,,,0.6250,0.0000,5.0000,10.0000,0.8000,False,0.6667,BV.2019.06.05-13.16,0.0019745410597556967,0.2826648636632553,0.6103896103896104
1.0000,Y1,1,16,BDY-,10,0,0,2.0000,0.3540,0.6667,0.5000,3.5000,4.5000,0.6000,False,0.6667,BV.2019.06.05-13.16,0.003391879765047956,0.30693360009917414,0.9230769230769231
2.0000,Y1,1,16,LB-,12,0,0,,,0.2000,0.5000,6.0000,4.5000,0.8000,False,0.6667,BV.2019.06.05-13.16,0.0031028339176127906,0.2857275227733695,0.8888888888888888
1.0000,Y1,1,17,BDY,0,0,0,5.0000,0.2540,0.9286,1.0000,1.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.004276203934737988,0.3041938268762084,0.8625
1.0000,Y1,1,17,BOD,1,0,0,5.0000,0.2570,0.7692,1.0000,2.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,17,LB,3,0,0,3.0000,0.5170,0.6667,1.0000,3.5000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.003631902134039716,0.3017406486289837,0.5866666666666667
0.0000,Y1,1,17,DMG,9,0,0,,,0.6250,0.0000,5.0000,10.0000,1.0000,False,0.8333,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,17,BDY-,10,0,0,5.0000,0.2670,0.6667,0.5000,3.5000,4.5000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.004093450853233538,0.3093576447763352,0.9230769230769231
1.0000,Y1,1,17,LB-,12,0,0,6.0000,,0.2000,0.5000,6.0000,4.5000,0.8000,False,0.8333,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,Y1,1,18,BDY,0,0,0,7.0000,0.3860,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,Y1,1,18,BOD,1,0,0,7.0000,0.2660,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003341064765898405,0.31648510639587435,0.6973684210526315
1.0000,Y1,1,18,LB,3,0,0,4.0000,0.4330,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.5866666666666667
1.0000,Y1,1,18,DMG,9,0,0,4.0000,0.5900,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,18,BDY-,10,0,0,,,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.9230769230769231
1.0000,Y1,1,18,LB-,12,0,0,4.0000,0.6350,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,Y1,1,19,BOD,1,0,0,4.0000,0.3820,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,Y1,1,19,DMG,9,0,0,2.0000,0.7960,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,19,BDY-,10,0,0,4.0000,0.4800,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.9230769230769231
1.0000,Y1,1,19,LB-,12,0,0,2.0000,0.4380,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0033386923850357575,0.2949363814881038,0.8888888888888888
1.0000,PINK2,2,0,BDY,0,0,0,5.0000,0.5060,1.0000,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0030993075815899662,0.3248508769489756,0.8625
1.0000,PINK2,2,0,BOD,1,0,0,4.0000,0.6470,1.0000,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004368229908225829,0.3181129575441921,0.6973684210526315
1.0000,PINK2,2,0,BDY-,10,0,0,3.0000,0.4990,0.8421,0.0000,4.0000,9.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0034430456464861203,0.3011551338669083,0.9230769230769231
1.0000,PINK2,2,0,LB-,12,0,0,4.0000,0.5840,0.7368,0.0000,5.0000,9.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003932952715047178,0.295049472895784,0.8888888888888888
1.0000,PINK2,2,1,BOD,1,0,0,4.0000,0.5660,1.0000,1.0000,2.0000,2.0000,0.6667,False,0.7500,BV.2019.06.05-13.16,0.0035871552306593613,0.3178545780063828,0.6973684210526315
1.0000,PINK2,2,1,LB,3,0,0,4.0000,0.6640,1.0000,1.0000,2.0000,2.0000,0.6667,False,0.7500,BV.2019.06.05-13.16,0.0038129799510231432,0.3227024216063187,0.5866666666666667
1.0000,PINK2,2,1,BDY-,10,0,0,4.0000,0.5650,0.8421,0.0000,4.0000,9.0000,0.6667,False,0.7500,BV.2019.06.05-13.16,0.004951373574893558,0.3263574901348607,0.9230769230769231
0.0000,PINK2,2,1,LB-,12,0,0,,,0.7368,0.0000,5.0000,9.0000,1.0000,False,0.7500,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,PINK2,2,2,BDY,0,0,0,4.0000,0.6050,1.0000,1.0000,2.0000,2.0000,0.3333,False,0.5000,BV.2019.06.05-13.16,0.00417517835566425,0.3156232730004546,0.8625
2.0000,PINK2,2,2,BOD,1,0,0,,,1.0000,1.0000,2.0000,2.0000,0.6667,False,0.5000,BV.2019.06.05-13.16,0.004163356217017605,0.2893640145631315,0.6973684210526315
2.0000,PINK2,2,2,LB,3,0,0,,,1.0000,1.0000,2.0000,2.0000,0.6667,False,0.5000,BV.2019.06.05-13.16,0.002844852438817713,0.28206179008258236,0.5866666666666667
1.0000,PINK2,2,2,BDY-,10,0,0,2.0000,0.6880,0.8421,0.0000,4.0000,9.0000,0.3333,False,0.5000,BV.2019.06.05-13.16,0.005115249817567558,0.34436787353324233,0.9230769230769231
1.0000,PINK2,2,3,BDY,0,0,0,3.0000,0.5260,1.0000,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00486838768837311,0.3499910907350025,0.8625
1.0000,PINK2,2,3,BOD,1,0,0,6.0000,0.4790,1.0000,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.005600842128876626,0.35866728098828454,0.6973684210526315
1.0000,PINK2,2,3,LB,3,0,0,3.0000,0.5720,1.0000,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0061754676618288595,0.33515815957129025,0.5866666666666667
1.0000,PINK2,2,3,DMG,9,0,0,2.0000,0.5820,0.7143,0.0000,6.0000,9.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.00451886836176546,0.36418772562180424,0.6103896103896104
1.0000,PINK2,2,3,LB-,12,0,0,2.0000,0.5840,0.7368,0.0000,5.0000,9.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.003979289925592766,0.33914964480915977,0.8888888888888888
1.0000,PINK2,2,4,BDY,0,0,0,6.0000,0.4910,1.0000,1.0000,2.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.008220866371126734,0.35668123336722096,0.8625
1.0000,PINK2,2,4,BOD,1,0,0,2.0000,0.6010,1.0000,1.0000,2.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.0052319247013198344,0.35124194668931386,0.6973684210526315
1.0000,PINK2,2,4,LB,3,0,0,4.0000,0.4820,1.0000,1.0000,2.0000,2.0000,0.8000,False,0.8333,BV.2019.06.05-13.16,0.007003452920001985,0.3721478006607929,0.5866666666666667
